"131","5","r","お目に留まる","おめにとまる"
"132","5","u","お目玉を食らう","おめだまをくらう"
"133","5","u","お預けを食う","おあずけをくう"
"134","5","u","お預けを食らう","おあずけをくらう"
"135","1",,"お里が知れる","おさとがしれる"
"136","5","r","お留守になる","おるすになる"
"137","1",,"かいま見る","かいまみる"
"138","5","k","かいま聞く","かいまきく"
"139","5","m","かい込む","かいこむ"
"140","5","s","かい出す","かいだす"
"141","5","m","かい摘む","かいつまむ"
"142","5","m","かかえ込む","かかえこむ"
"143","5","u","かかり合う","かかりあう"
"144","5","u","かかわり合う","かかわりあう"
"145","5","m","かがみ込む","かがみこむ"
"146","5","s","かき回す","かきまわす"
"147","1",,"かき寄せる","かきよせる"
"148","1",,"かき交ぜる","かきまぜる"
"149","5","k","かき口説く","かきくどく"
"150","1",,"かき合せる","かきあわせる"
"151","1",,"かき混ぜる","かきまぜる"
"152","1",,"かき集める","かきあつめる"
"153","1",,"かき消える","かききえる"
"154","5","s","かき消す","かきけす"
"155","5","r","かき切る","かききる"
"156","1",,"かき分ける","かきわける"
"157","5","s","かき鳴らす","かきならす"
"158","5","s","かき乱す","かきみだす"
"159","1",,"かき立てる","かきたてる"
"160","5","r","かぎ回る","かぎまわる"
"161","5","r","かぎ取る","かぎとる"
"162","5","s","かぎ出す","かぎだす"
"163","5","r","かけ寄る","かけよる"
"164","5","u","かけ合う","かけあう"
"165","5","s","かけ直す","かけなおす"
"166","5","m","かけ離む","かけこむ"
"167","1",,"かけ離れる","かけはなれる"
"168","5","r","かさかさ鳴る","かさかさなる"
"169","1",,"かさに着る","かさにきる"
"170","1",,"かしめる",
"171","5","t","かたきを討つ","かたきをうつ"
"172","5","u","かち合う","かちあう"
"173","5","r","かっとなる",
"174","5","s","かっ飛ばす","かっとばす"
"175","1",,"かなぐり捨てる","かなぐりすてる"
"176","5","u","かみ合う","かみあう"
"177","5","s","かみ殺す","かみこなす"
"178","5","s","かみ殺す","かみころす"
"179","5","r","かみ切る","かみきる"
"180","1",,"かみ締める","かみしめる"
"181","5","k","かみ付く","かみつく"
"182","5","m","かむ",
"183","5","k","かゆいところに手が届く","かゆいところにてがとどく"
"184","5","k","かゆい所に手が届く","かゆいところにてがとどく"
"185","5","u","からみ合う","からみあう"
"186","5","r","かんかん怒る","かんかんおこる"
"187","5","s","がす","はがす"
"188","5","s","がす","へがす"
"189","k",,"がたがくる",
"190","5","k","がたつく",
"191","5","k","がちゃつく",
"192","5","k","がっつく",
"193","5","u","がつんと言う","がつんという"
"194","1",,"がなり立てる","がなりたてる"
"195","5","r","がなる",
"196","5","r","がぶる",
"197","1",,"がめる",
"198","5","r","がる",
"199","1",,"がんがん食べる","がんがんたべる"
"200","5","s","がんと一発くらわす","がんといっぱつくらわす"
"201","1",,"がん首そろえる","がんくびそろえる"
"202","1",,"がん首をそろえる","がんくびをそろえる"
"203","1",,"が聞いてあきれる","がきいてあきれる"
"204","1",,"が聞いて呆れる","がきいてあきれる"
"205","5","u","きしみ合う","きしみあう"
"206","5","s","きびすを返す","きびすをかえす"
"207","5","s","きもを冷やす","きもをひやす"
"208","5","u","ぎゃふんと言う","ぎゃふんという"
"209","5","k","ぎらつく",
"210","5","u","くい違う","くいちがう"
"211","1",,"くい止める","くいとめる"
"212","1",,"くぐり抜ける","くぐりぬける"
"213","5","b","くじで選ぶ","くじでえらぶ"
"214","5","k","くじを引く","くじをひく"
"215","5","u","くすくす笑う","くすくすわらう"
"216","1",,"くすねる",
"217","5","m","くすむ",
"218","5","r","くたばる",
"219","5","r","くっちゃべる",
"220","5","k","くっ付く","くっつく"
"221","1",,"くっ付ける","くっつける"
"222","5","r","くねる",
"223","1",,"くの字に曲げる","くのじにまげる"
"224","5","s","くびすを返す","くびすをかえす"
"225","5","r","くみ取る","くみとる"
"226","5","k","くり抜く","くりぬく"
"227","5","s","くり返す","くりかえす"
"228","5","m","くわえ込む","くわえこむ"
"229","5","k","くんくん鳴く","くんくんなく"
"230","5","u","ぐうぐう寝ちゃう","ぐうぐうねちゃう"
"231","5","m","ぐむ",
"232","5","k","ぐらつく",
"233","1",,"ぐれる",
"234","5","k","けい線を引く","けいせんをひく"
"235","1",,"けじめを付ける","けじめをつける"
"236","1",,"けた上げる","けたあげる"
"237","1",,"けちつける",
"238","1",,"けちを付ける","けちをつける"
